,end_date,sold_units
19,2020-01-04,89.0
87,2020-01-11,89.0
100,2020-01-18,67.0
2,2020-01-25,82.0
104,2020-02-01,96.0
132,2020-02-08,113.0
95,2020-02-15,94.0
18,2020-02-22,69.0
67,2020-02-29,128.0
138,2020-03-07,192.0
79,2020-03-14,113.0
38,2020-03-21,104.0
96,2020-03-28,111.0
131,2020-04-04,74.0
11,2020-04-11,21.0
119,2020-04-18,4.0
108,2020-04-25,0.0
133,2020-05-02,43.0
53,2020-05-09,321.0
117,2020-05-16,237.0
144,2020-05-23,217.0
48,2020-05-30,234.0
101,2020-06-06,356.0
137,2020-06-13,317.0
85,2020-06-20,415.0
156,2020-06-27,972.0
31,2020-07-04,313.0
115,2020-07-11,317.0
33,2020-07-18,306.0
116,2020-07-25,216.0
97,2020-08-01,215.0
149,2020-08-08,211.0
21,2020-08-15,167.0
112,2020-08-22,148.0
37,2020-08-29,191.0
35,2020-09-05,169.0
110,2020-09-12,244.0
56,2020-09-19,146.0
126,2020-09-26,176.0
29,2020-10-03,381.0
118,2020-10-10,127.0
123,2020-10-17,88.0
98,2020-10-24,89.0
127,2020-10-31,200.0
154,2020-11-07,156.0
151,2020-11-14,254.0
45,2020-11-21,260.0
143,2020-11-28,243.0
125,2020-12-05,254.0
140,2020-12-12,191.0
102,2020-12-19,191.0
105,2020-12-26,87.0
41,2021-01-02,334.0
83,2021-01-09,171.0
77,2021-01-16,182.0
46,2021-01-23,163.0
129,2021-01-30,135.0
94,2021-02-06,177.0
71,2021-02-13,159.0
139,2021-02-20,370.0
9,2021-02-27,277.0
20,2021-03-06,332.0
136,2021-03-13,185.0
15,2021-03-20,157.0
36,2021-03-27,196.0
121,2021-04-03,226.0
14,2021-04-10,159.0
43,2021-04-17,381.0
44,2021-04-24,147.0
153,2021-05-01,117.0
141,2021-05-08,130.0
122,2021-05-15,108.0
23,2021-05-22,86.0
32,2021-05-29,64.0
1,2021-06-05,99.0
60,2021-06-12,149.0
73,2021-06-19,158.0
130,2021-06-26,130.0
106,2021-07-03,175.0
72,2021-07-10,128.0
148,2021-07-17,101.0
59,2021-07-24,92.0
91,2021-07-31,129.0
4,2021-08-07,192.0
47,2021-08-14,190.0
27,2021-08-21,221.0
13,2021-08-28,123.0
24,2021-09-04,132.0
128,2021-09-11,98.0
113,2021-09-18,87.0
150,2021-09-25,97.0
25,2021-10-02,112.0
42,2021-10-09,101.0
30,2021-10-16,112.0
86,2021-10-23,85.0
8,2021-10-30,91.0
12,2021-11-06,83.0
78,2021-11-13,128.0
0,2021-11-20,112.0
50,2021-11-27,164.0
84,2021-12-04,331.0
28,2021-12-11,162.0
7,2021-12-18,113.0
92,2021-12-25,74.0
114,2022-01-01,92.0
40,2022-01-08,107.0
76,2022-01-15,100.0
63,2022-01-22,77.0
34,2022-01-29,94.0
80,2022-02-05,83.0
3,2022-02-12,135.0
88,2022-02-19,106.0
107,2022-02-26,108.0
147,2022-03-05,126.0
145,2022-03-12,139.0
146,2022-03-19,104.0
5,2022-03-26,112.0
90,2022-04-02,115.0
6,2022-04-09,121.0
109,2022-04-16,102.0
152,2022-04-23,180.0
135,2022-04-30,286.0
54,2022-05-07,187.0
61,2022-05-14,171.0
89,2022-05-21,141.0
134,2022-05-28,157.0
66,2022-06-04,113.0
10,2022-06-11,138.0
81,2022-06-18,149.0
75,2022-06-25,154.0
55,2022-07-02,208.0
111,2022-07-09,259.0
93,2022-07-16,224.0
26,2022-07-23,198.0
52,2022-07-30,230.0
58,2022-08-06,102.0
120,2022-08-13,152.0
22,2022-08-20,184.0
70,2022-08-27,189.0
49,2022-09-03,153.0
69,2022-09-10,130.0
103,2022-09-17,135.0
155,2022-09-24,176.0
39,2022-10-01,180.0
68,2022-10-08,246.0
16,2022-10-15,348.0
57,2022-10-22,392.0
99,2022-10-29,435.0
51,2022-11-05,276.0
